Sentence,Error Explanation
"She don't like ice cream.","Incorrect verb conjugation. Should be ""doesn't""."
"Him and I went to the store.","Incorrect pronoun case. Should be ""He and I""."
"I seen the movie last night.","Incorrect verb form. Should be ""saw""."
"They is going to the park.","Incorrect verb conjugation. Should be ""are""."
"She drives more faster than me.","Redundant comparative. Should be ""faster""."
"There going to the concert.","Incorrect use of ""there"". Should be ""They're""."
"Its a beautiful day.","Incorrect use of ""its"". Should be ""It's""."
"Each of the students have their own book.","Subject-verb agreement. Should be ""has""."
"Me and him are friends.","Incorrect pronoun case. Should be ""He and I""."
"She was happy because she passed it's test.","Incorrect use of ""it's"". Should be ""its""."
"I can’t hardly wait for the party.","Double negative. Should be ""I can hardly wait""."
"He done the homework already.","Incorrect verb form. Should be ""did""."
"I want to quickly finish this book.","Split infinitive (though often acceptable in modern usage). Could be ""quickly finish""."
"Himself went to the store.","Incorrect reflexive pronoun. Should be ""He""."
"The boy which is wearing a red shirt is my brother.","Incorrect relative pronoun. Should be ""who""."
"She don't have no money.","Double negative. Should be ""She doesn't have any money""."
"Between you and I, this is a secret.","Incorrect pronoun case. Should be ""Between you and me""."
"She invited John and I to the party.","Incorrect pronoun case. Should be ""John and me""."
"None of them were happy with the decision.","Subject-verb agreement (though some argue ""none"" can be singular or plural). Should be ""was""."
"I could of gone to the concert.","Incorrect use of ""of"". Should be ""could have""."
"Where is the books?","Subject-verb agreement. Should be ""are""."
"She was tired so she decided lay down.","Missing infinitive marker. Should be ""to lay down""."
"Whom is going to the party?","Incorrect pronoun case. Should be ""Who""."
"I am going to the park, and he’s going to the park, too, so are they.","Parallel structure. Should be ""so are they""."
"It's important to do your work good.","Incorrect adverb form. Should be ""well""."
"The teacher she gave us homework.","Redundant subject. Should be ""The teacher gave us homework""."
"She sings beautiful.","Incorrect adverb form. Should be ""beautifully""."
"Him and his friends went to the game.","Incorrect pronoun case. Should be ""He and his friends""."
"She went to there house.","Incorrect use of ""there"". Should be ""their""."
"The team has lost it's last game.","Incorrect use of ""it's"". Should be ""its""."
"Neither of the girls have a pen.","Subject-verb agreement. Should be ""has""."
"They was late to the meeting.","Incorrect verb conjugation. Should be ""were""."
"She did good on the test.","Incorrect adverb form. Should be ""well""."
"I want an informations about the project.","Incorrect noun form. Should be ""information""."
"She is more prettier than her sister.","Redundant comparative. Should be ""prettier""."
"If I was you, I’d be careful.","Incorrect subjunctive mood. Should be ""were""."
"Him and her went to the dance.","Incorrect pronoun case. Should be ""He and she""."
"The cat was laying on the bed.","Incorrect verb form. Should be ""lying""."
"She has less friends than me.","Incorrect comparative form. Should be ""fewer""."
"The reason why is because he was tired.","Redundant phrase. Should be ""The reason is""."
"Everyone brought their book to class.","Pronoun agreement. Should be ""his or her""."
"I have did my homework.","Incorrect verb form. Should be ""done""."
"He is taller then his brother.","Incorrect use of ""then"". Should be ""than""."
"She don't have no friends.","Double negative. Should be ""She doesn't have any friends""."
"She asked him where was he going.","Incorrect word order. Should be ""where he was going""."
"I seen him at the party.","Incorrect verb form. Should be ""saw""."
"I can't find my keys nowhere.","Double negative. Should be ""anywhere""."
"Himself is very smart.","Incorrect reflexive pronoun. Should be ""He""."
"They didn’t want nothing to do with it.","Double negative. Should be ""anything""."
"I have less books than she does.","Incorrect comparative form. Should be ""fewer""."
"She runs quicker than I do.","Incorrect comparative form. Should be ""more quickly""."
"I can't hardly believe it.","Double negative. Should be ""I can hardly believe it""."
"He should of known better.","Incorrect use of ""of"". Should be ""should have""."
"She gave the book to John and I.","Incorrect pronoun case. Should be ""John and me""."
"The book that I am reading, it is interesting.","Redundant subject. Should be ""The book that I am reading is interesting""."
"The news are on at six.","Subject-verb agreement. Should be ""is""."
"She has went to the store.","Incorrect verb form. Should be ""gone""."
"I don't have no money.","Double negative. Should be ""any money""."
"Each of the players have a uniform.","Subject-verb agreement. Should be ""has""."
"She don't know nothing about it.","Double negative. Should be ""She doesn't know anything""."
"I am tired, however I will finish the work.","Incorrect punctuation. Should be ""I am tired; however, I will finish the work""."
"She has less patience than him.","Incorrect comparative form and pronoun case. Should be ""fewer patience than he has""."
"She asked if he was going with we.","Incorrect pronoun case. Should be ""us""."
"The book is laying on the table.","Incorrect verb form. Should be ""lying""."
"He don't like to study.","Incorrect verb conjugation. Should be ""doesn't""."
"Himself and I went to the store.","Incorrect reflexive pronoun and pronoun case. Should be ""He and I""."
"She didn't do nothing about it.","Double negative. Should be ""anything""."
"I have went to the mall.","Incorrect verb form. Should be ""gone""."
"She sings good.","Incorrect adverb form. Should be ""well""."
"Everyone should bring their book.","Pronoun agreement. Should be ""his or her""."
"She done her homework.","Incorrect verb form. Should be ""did""."
"The dog wagged it's tail.","Incorrect use of ""it's"". Should be ""its""."
"I can't see nothing.","Double negative. Should be ""anything""."
"He runs quick.","Incorrect adverb form. Should be ""quickly""."
"The team has lost it's last game.","Incorrect use of ""it's"". Should be ""its""."
"He didn't want no help.","Double negative. Should be ""any help""."
"She don't know nothing.","Double negative. Should be ""doesn't know anything""."
"Me and her are going to the party.","Incorrect pronoun case. Should be ""She and I""."
"He don't got no money.","Double negative and incorrect verb conjugation. Should be ""He doesn't have any money""."
"The dog is laying on the floor.","Incorrect verb form. Should be ""lying""."
"I seen him yesterday.","Incorrect verb form. Should be ""saw""."
"She is more smarter than him.","Redundant comparative and incorrect pronoun case. Should be ""smarter than he is""."
"He done it well.","Incorrect verb form. Should be ""did""."
"I have less friends than him.","Incorrect comparative form and pronoun case. Should be ""fewer friends than he has""."
"She don't know nothing about it.","Double negative. Should be ""doesn't know anything""."
"He has went to the store.","Incorrect verb form. Should be ""gone""."
"She sings beautiful.","Incorrect adverb form. Should be ""beautifully""."
"Everyone should bring their book.","Pronoun agreement. Should be ""his or her""."
"She done her homework.","Incorrect verb form. Should be ""did""."
"The dog wagged it's tail.","Incorrect use of ""it's"". Should be ""its""."
"I can't see nothing.","Double negative. Should be ""anything""."
"He runs quick.","Incorrect adverb form. Should be ""quickly""."
"The team has lost it's last game.","Incorrect use of ""it's"". Should be ""its""."
"He didn't want no help.","Double negative. Should be ""any help""."
"She don't know nothing.","Double negative. Should be ""doesn't know anything""."
"Me and her are going to the party.","Incorrect pronoun case. Should be ""She and I""."
"He don't got no money.","Double negative and incorrect verb conjugation. Should be ""He doesn't have any money""."
"The dog is laying on the floor.","Incorrect verb form. Should be ""lying""."
"I seen him yesterday.","Incorrect verb form. Should be ""saw""."
"She is more smarter than him.","Redundant comparative and incorrect pronoun case. Should be ""smarter than he is""."

"She don't like to eat vegetables.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'She.'"
"They was going to the store when it started raining.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'They.'"
"I seen him at the party last night.","Incorrect verb form: 'seen' should be 'saw' in the past tense."
"We goes to the gym every morning before work.","Subject-verb agreement error: 'goes' should be 'go' to match the plural subject 'We.'"
"She don't have no time for games.","Double negative error: 'don't' and 'no' should not be used together."
"He don't know where she has gone.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'He.'"
"The dog wagged it's tail when it saw its owner.","Incorrect use of 'it's': should be 'its' to show possession, not a contraction."
"Their going to visit us next weekend.","Incorrect use of 'their': should be 'They're' as a contraction of 'they are.'"
"I can't hardly wait to see the movie.","Double negative error: 'can't hardly' should be 'can hardly.'"
"She don't like no spicy food.","Double negative error: 'don't' and 'no' should not be used together."
"He don't have to work tomorrow.","Subject-verb agreement error: 'don't' should be 'doesn't' to match the singular subject 'He.'"
"The cat sat on it's mat.","Incorrect use of 'it's': should be 'its' to show possession, not a contraction."
"We was waiting for you at the restaurant.","Subject-verb agreement error: 'was' should be 'were' to match the plural subject 'We.'"
